# ID,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_radj,pl_radjerr1,pl_radjerr2,st_rad,st_raderr1,st_raderr2,pl_tranflag,ra,dec,st_elon,st_elat,pl_orbper
   0,        "HD 95872 b",5.1500000954e+00,1.5999999642e-01,1.5999999642e-01,5.9999998659e-02,3.9999999106e-02,3.9999999106e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1490024648e+00,2.0265494709e-01,1.6640874314e-01,8.3999997377e-01,3.9999999106e-02,3.9999999106e-02,0,1.6586711121e+02,-2.2093976974e+01,1.7630932617e+02,-2.5790601730e+01,4.3750000000e+03
   1,     "psi 1 Dra B b",4.4299998283e+00,3.9999999106e-02,3.9999999106e-02,4.0000000596e-01,5.0000000745e-02,5.0000000745e-02,6.4000000000e+01,9.0000000000e+00,9.0000000000e+00,1.1897677651e+00,2.2768695252e-01,1.8519818509e-01,1.4515135217e+00,2.0561039019e-01,2.0561039019e-01,0,2.6549209595e+02,7.2156913757e+01,1.0375430298e+02,8.4186470032e+01,3.1170000000e+03
   2,         "HD 5583 b",5.2999997139e-01,1.9999999553e-02,1.9999999553e-02,7.5999997556e-02,7.0000000298e-02,2.3000000045e-02,1.2000000000e+01,3.3000000000e+02,6.0000000000e+00,1.1377612744e+00,2.3022319636e-01,1.7117823454e-01,9.0900001526e+00,1.5000000000e+00,1.5000000000e+00,0,1.4486254692e+01,3.4985561371e+01,2.7679718018e+01,2.6393539429e+01,1.3935000610e+02
   3,      "BD+15 2375 b",5.7599997520e-01,2.7000000700e-02,2.7000000700e-02,1.0000000475e-03,2.5000000000e-01,1.0000000475e-03,5.5000000000e+01,2.4000000000e+02,1.7000000000e+01,1.2114367220e+00,2.4671456648e-01,1.8946948505e-01,8.9499998093e+00,1.4500000477e+00,1.4500000477e+00,0,1.7648217773e+02,1.4616380692e+01,1.7089114380e+02,1.1999643326e+01,1.5322000122e+02
   4,       "HD 217107 c",5.3200001717e+00,3.7999999523e-01,3.7999999523e-01,5.1700001955e-01,3.2999999821e-02,3.2999999821e-02,1.9860000610e+02,6.0000000000e+00,6.0000000000e+00,1.1678449355e+00,2.0841580363e-01,1.7505646346e-01,1.1100000143e+00,9.9999997765e-03,9.9999997765e-03,0,3.4456475830e+02,-2.3953850269e+00,3.4485913086e+02,3.8663411140e+00,4.2700000000e+03
   5,       "HD 217786 b",2.3800001144e+00,3.9999999106e-02,3.9999999106e-02,4.0000000596e-01,5.0000000745e-02,5.0000000745e-02,1.0000000000e+02,2.0000000000e+00,2.0000000000e+00,1.1013915562e+00,1.9657438537e-01,1.8980013407e-01,1.2699999809e+00,5.9999998659e-02,5.9999998659e-02,0,3.4578417969e+02,-4.2962199450e-01,3.4674801636e+02,5.2097411156e+00,1.3190000000e+03
   6,       "HD 218566 b",6.8999999762e-01,9.9999997765e-03,9.9999997765e-03,3.0000001192e-01,1.0000000149e-01,1.0000000149e-01,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,8.0182927791e-01,3.8043186926e-01,2.6539960676e-01,8.5000002384e-01,3.9999999106e-02,3.9999999106e-02,0,3.4729470825e+02,-2.2607419491e+00,3.4743145752e+02,2.9362900257e+00,2.2569999695e+02
   7,       "HD 219415 b",3.2000000477e+00,3.2000000477e-01,3.2000000477e-01,4.0000000596e-01,9.0000003576e-02,9.0000003576e-02,2.0700000000e+02,1.2300000191e+01,1.2300000191e+01,1.2235243831e+00,2.2485253792e-01,2.0451855565e-01,2.9000000954e+00,4.0000000596e-01,4.0000000596e-01,0,3.4872427368e+02,5.6730327606e+01,2.3521696091e+01,5.4073665619e+01,2.0933000488e+03
   8,       "HD 220074 b",1.6000000238e+00,1.2999999523e-01,1.2999999523e-01,1.4000000060e-01,5.0000000745e-02,5.0000000745e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.0602199804e+00,2.2651235160e-01,1.7073622499e-01,5.4919998169e+01,8.7600002289e+00,8.7600002289e+00,0,3.5005990601e+02,6.1970127106e+01,3.0869670868e+01,5.7365852356e+01,6.7209997559e+02
   9,       "HD 220689 b",3.3599998951e+00,9.0000003576e-02,9.0000003576e-02,1.5999999642e-01,1.0000000149e-01,7.0000000298e-02,1.3700000000e+02,7.5000000000e+01,7.5000000000e+01,1.2191051187e+00,2.2818079756e-01,1.8229128130e-01,1.0700000525e+00,3.9999999106e-02,3.9999999106e-02,0,3.5147079468e+02,-2.0616029739e+01,3.4388537598e+02,-1.5535237312e+01,2.2090000000e+03
