#name,ra,dec,elon,tau,elat,c1s1,c1s2,c1s3,c1s4,c1s5,c1s6,c1s7,c1s8,c1s9,c1s10,c1s11,c1s12,c1s13,c2s1,c2s2,c2s3,c2s4,c2s5,c2s6,c2s7,c2s8,c2s9,c2s10,c2s11,c2s12,c2s13
        "HD 95872 b",165.86711121,-22.093976974,176.30932617,-25.79060173,27.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
     "psi 1 Dra B b",265.49209595,72.156913757,103.75430298,84.186470032,297.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,4,4,4,4,4,4,4,0
         "HD 5583 b",14.486254692,34.985561371,27.679718018,26.393539429,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
      "BD+15 2375 b",176.48217773,14.616380692,170.8911438,11.999643326,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
       "HD 217107 c",344.5647583,-2.3953850269,344.85913086,3.866341114,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
       "HD 217786 b",345.78417969,-0.4296219945,346.74801636,5.2097411156,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
       "HD 218566 b",347.29470825,-2.2607419491,347.43145752,2.9362900257,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
       "HD 219415 b",348.72427368,56.730327606,23.521696091,54.073665619,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
       "HD 220074 b",350.05990601,61.970127106,30.869670868,57.365852356,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
       "HD 220689 b",351.47079468,-20.616029739,343.88537598,-15.535237312,27.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
